Input String,Expected Value,Predicted Value
['someon cape town western cape south africa start buy packabl travel duffel bag minut ago'],['Activity Notification'],['Activity Notification']
['peopl alreadi bought product today discount'],['Activity Notification'],['Activity Notification']
['sayeeganesh chennai india bought dhoni finish t shirt hour ago'],['Activity Notification'],['Activity Notification']
['peopl view item'],['Activity Notification'],['Activity Notification']
['peopl ad item cart'],['Activity Notification'],['Activity Notification']
['peopl purchas item'],['Activity Notification'],['Activity Notification']
['someon norway purchas super fg grater x faster off'],['Activity Notification'],['Activity Notification']
['peopl view'],['Activity Notification'],['Activity Notification']
['someon rochedal queensland australia start buy'],['Activity Notification'],['Activity Notification']
['recent purchas'],['Activity Notification'],['Activity Notification']
['cart'],['Activity Notification'],['Activity Notification']
['leah rich louisvil unit state purchas'],['Activity Notification'],['Activity Notification']
['someon madrid spain bought'],['Activity Notification'],['Activity Notification']
['sold last hour'],['Activity Notification'],['Activity Notification']
['person look product'],['Activity Notification'],['Activity Notification']
['jim houston usa purchas pure ratio hemp oil cbd patch mg cbd'],['Activity Notification'],['Sneak into Basket']
['tyler norwalk unit state purchas'],['Activity Notification'],['Activity Notification']
['someon ampang malaysia bought'],['Activity Notification'],['Activity Notification']
['user bought product touch the set touch xl touchup makeup mirror bundl'],['Activity Notification'],['Activity Notification']
['sudha rana jaipur bought product min ago'],['Activity Notification'],['Activity Notification']
['order'],['Activity Notification'],['Hidden Costs']
['trend style sold time today'],['Activity Notification'],['Limited-time Message']
['someon san diego unit state bought gemfield watch day ago'],['Activity Notification'],['Activity Notification']
['alyssa san antonio unit state purchas itun japan gift card jpi minut ago'],['Activity Notification'],['Activity Notification']
['someon pari franc purchas kanpeki knife set'],['Activity Notification'],['Activity Notification']
['peopl view item'],['Activity Notification'],['Activity Notification']
['peopl ad item cart'],['Activity Notification'],['Activity Notification']
['peopl purchas item'],['Activity Notification'],['Activity Notification']
['jame cashion oklahoma bought glossi black brick geod amber gradient fast lane'],['Activity Notification'],['Activity Notification']
['peopl cart'],['Activity Notification'],['Activity Notification']
['person view'],['Activity Notification'],['Activity Notification']
['unit sold last day'],['Activity Notification'],['Activity Notification']
['marc newton unit state purchasedktm stand plate larg ktm'],['Activity Notification'],['Activity Notification']
['peopl eye item'],['Activity Notification'],['Activity Notification']
['peopl look right'],['Activity Notification'],['Activity Notification']
['monira doha qatar purchas lilyvan velvet box'],['Activity Notification'],['Sneak into Basket']
['theresa botkin bought panopli a line lace formal dress'],['Activity Notification'],['Activity Notification']
['jami nashvil unit state purchas'],['Activity Notification'],['Activity Notification']
['peopl view item last day'],['Activity Notification'],['Activity Notification']
['sabrina paraparaumu new zealand purchas scho ka kola schokakola energi chocol caffein snack food mre caffein'],['Activity Notification'],['Sneak into Basket']
['bought'],['Activity Notification'],['Activity Notification']
['mounif pittsburgh unit state purchas'],['Activity Notification'],['Activity Notification']
['sold last day'],['Activity Notification'],['Countdown Timer']
['someon citi ad radianc nebul diffus cart'],['Activity Notification'],['Activity Notification']
['peopl see product right'],['Activity Notification'],['Activity Notification']
['rose portland unit state purchas green eco friendli iphon xr case minut ago'],['Activity Notification'],['Activity Notification']
['in user cart'],['Activity Notification'],['Activity Notification']
['view thi product'],['Activity Notification'],['Activity Notification']
['matthew charleston south carolina purchas the puffi lux mattress'],['Activity Notification'],['Sneak into Basket']
['hayden near princeton bought cbd vegan gummi'],['Activity Notification'],['Activity Notification']
['long dress style beach cover up with lace detail jessica metairi unit state'],['Activity Notification'],['Activity Notification']
['bobbi decatur unit state purchas'],['Activity Notification'],['Activity Notification']
['jessica orang unit state purchas black sequin maxi flapper dress minut ago'],['Activity Notification'],['Activity Notification']
['peopl purchas item'],['Activity Notification'],['Activity Notification']
['peopl ad item cart'],['Activity Notification'],['Activity Notification']
['peopl view item'],['Activity Notification'],['Activity Notification']
['popular item peopl recent purchas'],['Activity Notification'],['Activity Notification']
['bernard philadelphia unit state purchas'],['Activity Notification'],['Activity Notification']
['limit edit honeycomb necklac bee inspir someon purchas limit edit honeycomb necklac bee inspir'],['Activity Notification'],['Activity Notification']
['recent purchas'],['Activity Notification'],['Activity Notification']
['peopl view'],['Activity Notification'],['Activity Notification']
['peopl look product'],['Activity Notification'],['Activity Notification']
['someon sasebo japan bought'],['Activity Notification'],['Activity Notification']
['more user ad shapewear cart is size left'],['Activity Notification'],['Activity Notification']
['peopl ad item cart'],['Activity Notification'],['Activity Notification']
['peopl purchas item'],['Activity Notification'],['Activity Notification']
['peopl view item'],['Activity Notification'],['Activity Notification']
['someon egypt bought'],['Activity Notification'],['Activity Notification']
['john toowoomba citi australia purchas resin tank hour ago'],['Activity Notification'],['Activity Notification']
['peopl ad cart recent'],['Activity Notification'],['Activity Notification']
['peopl view recent'],['Activity Notification'],['Activity Notification']
['sierra cypress california bought beauti in all dress dusti blue minut ago'],['Activity Notification'],['Activity Notification']
['tristan markham canada purchas dragon basebal jersey'],['Activity Notification'],['Sneak into Basket']
['popular item peopl view recent purchas'],['Activity Notification'],['Activity Notification']
['pawrent buy furkid'],['Activity Notification'],['Hidden Costs']
['user current activ websit'],['Activity Notification'],['Hidden Costs']
['william pago pago unit state purchas'],['Activity Notification'],['Activity Notification']
['oscar cajamarca peru purchas'],['Activity Notification'],['Activity Notification']
['debbi harper ferri unit state bought ice pen decor tool'],['Activity Notification'],['Activity Notification']
['someon tornado unit state bought fresh melon menthol hour ago'],['Activity Notification'],['Activity Notification']
['someon arden hill unit state purchas ml young napoleon best strawberri shortcak ejuic vaporham lincoln eliquid minut ago'],['Activity Notification'],['Activity Notification']
['someon huntingtown maryland unit state purchas topcoat f polish sealer web special kit just now'],['Activity Notification'],['Activity Notification']
['ken three bridg unit state purchas all zebrawood oliv ash'],['Activity Notification'],['Activity Notification']
['tuvia eisenberg systemat tel aviv israel purchas'],['Activity Notification'],['Activity Notification']
['someon alexandria unit state bought ttdey queen green color contact lens'],['Activity Notification'],['Activity Notification']
['jeremi warroad unit state purchas'],['Activity Notification'],['Activity Notification']
['person look item'],['Activity Notification'],['Low-stock Message']
['get fast ad bag today'],['Activity Notification'],['Activity Notification']
['samuel minneapoli unit state purchas pod juic jewel mint cool nicotin salt e liquid ml hour ago'],['Activity Notification'],['Activity Notification']
['someon canberra purchas nadv austracantha minut ago'],['Activity Notification'],['Activity Notification']
['peopl purchas item'],['Activity Notification'],['Activity Notification']
['purchas time week'],['Activity Notification'],['Activity Notification']
['peopl view wine today'],['Activity Notification'],['Activity Notification']
['peopl purchas wine today'],['Activity Notification'],['Activity Notification']
['jonathan syracus unit state bought electr skateboard batteri pack v s p hour ago'],['Activity Notification'],['Activity Notification']
['custom bought today'],['Activity Notification'],['Activity Notification']
['custom consid product right'],['Activity Notification'],['Activity Notification']
['sold last hour'],['Activity Notification'],['Activity Notification']
['peopl look last hour'],['Activity Notification'],['Activity Notification']
['someon byron bay nsw bought'],['Activity Notification'],['Activity Notification']
['someon faizabad bought pretti love peni sleev inch hour minut ago'],['Activity Notification'],['Activity Notification']
['bought peopl last hour hot seller'],['Activity Notification'],['Activity Notification']
['peopl view product'],['Activity Notification'],['Activity Notification']
['someon keilor east bought piranta edg skin knife blaze havalon knive minut ago'],['Activity Notification'],['Activity Notification']
['custom item shop cart'],['Activity Notification'],['Activity Notification']
['peopl look artwork'],['Activity Notification'],['Activity Notification']
['peopl view product recent'],['Activity Notification'],['Activity Notification']
['peopl look product right'],['Activity Notification'],['Activity Notification']
['peopl view product per day'],['Activity Notification'],['Activity Notification']
['peopl look item'],['Activity Notification'],['Activity Notification']
['edwin woodland park nj bought'],['Activity Notification'],['Activity Notification']
['custom ad surefit protect year'],['Activity Notification'],['Activity Notification']
['peopl view'],['Activity Notification'],['Activity Notification']
['synn kristin halden bought classic bokksu subscript bill everi month ship everi month minut ago'],['Activity Notification'],['Activity Notification']
['peopl current interest'],['Activity Notification'],['Activity Notification']
['someon culgoa australia purchas savelli epic men comfort leather lace up boot made in brazil'],['Activity Notification'],['Activity Notification']
['peopl look item right'],['Activity Notification'],['Activity Notification']
['someon saint kilda victoria purchas frank queen size bed base'],['Activity Notification'],['Activity Notification']
['don t let em get away sever peopl recent view item'],['Activity Notification'],['Activity Notification']
['user look product past minut'],['Activity Notification'],['Activity Notification']
['ibkul solid mock neck half zip pullov purchas clinton md us minut ago'],['Activity Notification'],['Activity Notification']
['recent purchas'],['Activity Notification'],['Activity Notification']
['peopl view'],['Activity Notification'],['Activity Notification']
['someon airdri other bought item recent'],['Activity Notification'],['Activity Notification']
['someon yanchep bought mm mechan perform boost gaug blue white second ago'],['Activity Notification'],['Activity Notification']
['thi product ha been view time in the last hour'],['Activity Notification'],['Activity Notification']
['current view'],['Activity Notification'],['Activity Notification']
['our recent custom new rochel rosevil brooksvil'],['Activity Notification'],['Activity Notification']
['hot product over peopl look item'],['Activity Notification'],['Activity Notification']
['other peopl want peopl cart right'],['Activity Notification'],['Activity Notification']
['peopl view item in the last hour'],['Activity Notification'],['Activity Notification']
['bought'],['Activity Notification'],['Activity Notification']
['juli oak brook unit state purchas watercolor brush pen refil color travel case hour ago'],['Activity Notification'],['Activity Notification']
['peopl bought'],['Activity Notification'],['Activity Notification']
['denis saluda virginia bought terani coutur e embroid asymmetr neck mermaid gown'],['Activity Notification'],['Activity Notification']
['mher san angelo tx recent made purchas crossrop'],['Activity Notification'],['Activity Notification']
['son suisun citi unit state purchas command lex'],['Activity Notification'],['Activity Notification']
['cart'],['Activity Notification'],['Activity Notification']
['peopl view'],['Activity Notification'],['Activity Notification']
['rick columbia unit state purchas'],['Activity Notification'],['Activity Notification']
['someon dover unit state bought crew min ago'],['Activity Notification'],['Activity Notification']
['jame colonia purchas'],['Activity Notification'],['Activity Notification']
['someon new lynn bought kogan a earphon inlin control io android hour ago'],['Activity Notification'],['Activity Notification']
['peopl recent purchas'],['Activity Notification'],['Activity Notification']
['estiven deer park unit state purchas prewash oz'],['Activity Notification'],['Activity Notification']
['peopl current view product'],['Activity Notification'],['Activity Notification']
['michael m lacey wa bought cal king'],['Activity Notification'],['Activity Notification']
['peopl bought jotter to do refil last hour'],['Activity Notification'],['Activity Notification']
['view per day'],['Activity Notification'],['Activity Notification']
['sold last hour'],['Activity Notification'],['Activity Notification']
['view per hour'],['Activity Notification'],['Activity Notification']
['jeremi stockton unit state purchas'],['Activity Notification'],['Activity Notification']
['peopl have look at thi today'],['Activity Notification'],['Activity Notification']
['thi cart'],['Activity Notification'],['Activity Notification']
['purchas time last day'],['Activity Notification'],['Activity Notification']
['peopl look last hr'],['Activity Notification'],['Activity Notification']
['joe m bought cartoon caterpillar rig d model recent'],['Activity Notification'],['Activity Notification']
['someon bacchu marsh bought noosa basic deodor stick sensit g second ago'],['Activity Notification'],['Activity Notification']
['stacey saint mari unit state purchas extra long ft fiber cloth sync charg usb android cabl assort color minut ago'],['Activity Notification'],['Activity Notification']
['mark richmond hill unit state purchas fugoo tough minut ago'],['Activity Notification'],['Activity Notification']
['peopl have bought thi product today'],['Activity Notification'],['Activity Notification']
['sold last hour'],['Activity Notification'],['Activity Notification']
['bought'],['Activity Notification'],['Activity Notification']
['someon chambersburg pennsylvania purchas'],['Activity Notification'],['Activity Notification']
['peopl look right'],['Activity Notification'],['Activity Notification']
['peopl view today'],['Activity Notification'],['Activity Notification']
['last purchas minut ago someon dublin'],['Activity Notification'],['Activity Notification']
['chirag anoopshahr got jay jay one minut ago'],['Activity Notification'],['Activity Notification']
['cheryl ontario bought organ reishi mushroom powder g minut ago'],['Activity Notification'],['Activity Notification']
['view time last day'],['Activity Notification'],['Activity Notification']
['hurri peopl product cart'],['Activity Notification'],['Activity Notification']
['hurri peopl product cart'],['Activity Notification'],['Activity Notification']
['someon louisvil kentucki unit state purchas gold presidenti bracelet with watch buckl hour ago'],['Activity Notification'],['Activity Notification']
['peopl view product today'],['Activity Notification'],['Activity Notification']
['don miss we sold last day'],['Activity Notification'],['Confirmshaming']
['peopl look right'],['Activity Notification'],['Activity Notification']
['bestsel rug thi item view time last day'],['Activity Notification'],['Activity Notification']
['over bought'],['Activity Notification'],['Activity Notification']
['someon flemington unit state purchas anti age eyelid tape contain strip just'],['Activity Notification'],['Activity Notification']
['oh so popular bought last day'],['Activity Notification'],['Activity Notification']
['peopl look last hr'],['Activity Notification'],['Activity Notification']
['ida tangerang selatan indonesia purchas iseya vg g seri layer damascu japanes chef santoku knife mm hour ago'],['Activity Notification'],['Activity Notification']
['sold last hour'],['Activity Notification'],['Activity Notification']
['recent view other view last hour'],['Activity Notification'],['Activity Notification']
['user current activ websit'],['Activity Notification'],['Hidden Costs']
['ad to bag in the past hour'],['Activity Notification'],['Activity Notification']
['peopl look product last hour'],['Activity Notification'],['Activity Notification']
['someon bought hype blue larg splat kid leg'],['Activity Notification'],['Activity Notification']
['person view'],['Activity Notification'],['Activity Notification']
['awhi hick bay gisborn new zealand bought'],['Activity Notification'],['Activity Notification']
['peopl view right'],['Activity Notification'],['Activity Notification']
['someon cedarhurst unit state purchas sproet sprout shell violet stripe bloomer'],['Activity Notification'],['Activity Notification']
['someon castl hill bought philip essenti led downlight kit w k hour ago'],['Activity Notification'],['Activity Notification']
['someon joliet illinoi purchas yocan evolv plu xl vapor'],['Activity Notification'],['Activity Notification']
['peopl view product week'],['Activity Notification'],['Activity Notification']
['peopl look last coupl hr'],['Activity Notification'],['Activity Notification']
['someon unit state purchas'],['Activity Notification'],['Activity Notification']
['trend ad basket time today'],['Activity Notification'],['Limited-time Message']
['trend ad basket time today'],['Activity Notification'],['Limited-time Message']
['jacob seymour wisconsin unit state purchas bass xl'],['Activity Notification'],['Activity Notification']
['in peopl s shop bag'],['Activity Notification'],['Activity Notification']
['most popular'],['Activity Notification'],['Hidden Costs']
['peopl view today'],['Activity Notification'],['Activity Notification']
['peopl view last hr'],['Activity Notification'],['Activity Notification']
['custom view item recent'],['Activity Notification'],['Activity Notification']
['fast mover peopl ad cart today'],['Activity Notification'],['Activity Notification']
['someon portland unit state us purchas modalert recent'],['Activity Notification'],['Activity Notification']
['peopl look part recent'],['Activity Notification'],['Activity Notification']
['someon south gate california purchas admir jr spektrum servo connector plug set male femal pair'],['Activity Notification'],['Activity Notification']
['someon red cliff bought rhk yamaha yz yzf wrf blue pursuit footpeg minut ago'],['Activity Notification'],['Activity Notification']
['thi product view second ago someon princeton'],['Activity Notification'],['Activity Notification']
['lauri urraween queensland bought no brainer usb charg anti theft backpack'],['Activity Notification'],['Activity Notification']
['carol st loui missouri bought origin usb charg anti theft backpack'],['Activity Notification'],['Activity Notification']
['peopl bag right'],['Activity Notification'],['Activity Notification']
['purchas time last day'],['Activity Notification'],['Activity Notification']
['someon pittsworth bought ultim colt anal train kit hour ago'],['Activity Notification'],['Activity Notification']
['carl f fort ann ny bought king'],['Activity Notification'],['Activity Notification']
['peopl view current'],['Activity Notification'],['Activity Notification']
['custom bought last hour'],['Activity Notification'],['Activity Notification']
['peopl look item last hour'],['Activity Notification'],['Activity Notification']
['peopl ad cart'],['Activity Notification'],['Activity Notification']
['grace orlando unit state bought camouflag jumpsuit minut ago'],['Activity Notification'],['Activity Notification']
['someon vancouv washington purchas orthofeet men orthot insol minut'],['Activity Notification'],['Activity Notification']
['lesli usa purchas special design exclus handmad silver ring'],['Activity Notification'],['Activity Notification']
['peopl cart'],['Activity Notification'],['Activity Notification']
['add wish list peopl have ad'],['Activity Notification'],['Activity Notification']
['peopl like thi'],['Activity Notification'],['Confirmshaming']
['ad bag last hr'],['Activity Notification'],['Activity Notification']
['shopper saint john nb view lenovo thinkcentr m m ru desktop comput minut ago'],['Activity Notification'],['Activity Notification']
['over view hr'],['Activity Notification'],['Activity Notification']
['bought alreadi'],['Activity Notification'],['Activity Notification']
['popular other check last hour'],['Activity Notification'],['Activity Notification']
['popular other check last hour'],['Activity Notification'],['Activity Notification']
['isra l metz franc purchas more advanc chord substitut'],['Activity Notification'],['Activity Notification']
['someon cashmer bought rcm cosworth time belt kit my ej hour ago'],['Activity Notification'],['Activity Notification']
['view time today'],['Activity Notification'],['Activity Notification']
['peopl view item'],['Activity Notification'],['Activity Notification']
['peopl ad item cart'],['Activity Notification'],['Activity Notification']
['peopl purchas item'],['Activity Notification'],['Activity Notification']
['custom view product today'],['Activity Notification'],['Activity Notification']
['nanci pennsylvania purchas italian sterl silver milano twist adjust chain'],['Activity Notification'],['Activity Notification']
['armin dinov bought m runescap gold order total about second ago'],['Activity Notification'],['Activity Notification']
['trey columbia unit state purchas leather cord capsul'],['Activity Notification'],['Activity Notification']
['abbi calwel australia purchas shark bite sock hour ago'],['Activity Notification'],['Activity Notification']
['custom basket'],['Activity Notification'],['Hidden Costs']
['custom basket'],['Activity Notification'],['Hidden Costs']
['custom basket'],['Activity Notification'],['Hidden Costs']
['someon bole iago texa unit state purchas seek discomfort sketch white iphon case hour ago'],['Activity Notification'],['Activity Notification']
['sell fast add bag time last hour'],['Activity Notification'],['Activity Notification']
['peopl have view thi product recent'],['Activity Notification'],['Activity Notification']
['sandeep hawthorn california bought sadi pont pant black just now'],['Activity Notification'],['Activity Notification']
['jennif bought rainbow moonston heal heartabout hour ago'],['Activity Notification'],['Activity Notification']
['peopl current view item'],['Activity Notification'],['Activity Notification']
['someon petal jaya malaysia bought sneakerguard midsol paint marker boost white'],['Activity Notification'],['Activity Notification']
['oliv rotterdam netherland purchas england away soccer short about hour ago'],['Activity Notification'],['Activity Notification']
['michael pontiac unit state purchas'],['Activity Notification'],['Activity Notification']
['other custom cart'],['Activity Notification'],['Activity Notification']
['trey sparta unit state purchas stealth angel ultra lightweight portabl sleep bag minut ago'],['Activity Notification'],['Activity Notification']
['sold past month'],['Activity Notification'],['Hidden Costs']
['custom recent bought'],['Activity Notification'],['Activity Notification']
['tambria hattiesburg bought peruvian virgin natur wave hair bundl lace frontal human virgin hair'],['Activity Notification'],['Activity Notification']
['peopl have ad thi item to their cart today'],['Activity Notification'],['Activity Notification']
['one custom bought articl last min'],['Activity Notification'],['Activity Notification']
['someon mount louisa bought coleman fold tabl bench set minut ago'],['Activity Notification'],['Activity Notification']
['peopl view product'],['Activity Notification'],['Activity Notification']
['over peopl bought product'],['Activity Notification'],['Activity Notification']
['item sold hour'],['Activity Notification'],['Activity Notification']
['sara philadelphia save order'],['Activity Notification'],['Hidden Costs']
['peopl ad product bag last hour'],['Activity Notification'],['Activity Notification']
['natali graham unit state purchas free bt answer magic pillow hour ago'],['Activity Notification'],['Activity Notification']
['someon purchas hole origin ladi ii navi about hour ago'],['Activity Notification'],['Activity Notification']
['bought last hour'],['Activity Notification'],['Activity Notification']
['someon spain purchas'],['Activity Notification'],['Activity Notification']
['user current activ websit'],['Activity Notification'],['Hidden Costs']
['peopl look right'],['Activity Notification'],['Activity Notification']
['last purchas today'],['Activity Notification'],['Activity Notification']
['peopl look last coupl hour'],['Activity Notification'],['Activity Notification']
['someon osijek croatia bought tmc cp style singl pistol pouch'],['Activity Notification'],['Activity Notification']
['ashley auburn unit state purchas check plz iphon x xs case minut ago'],['Activity Notification'],['Activity Notification']
['other alreadi bought deal today'],['Activity Notification'],['Activity Notification']
['peopl view offer'],['Activity Notification'],['Activity Notification']
['someon shelbi twp unit state bought galaxi note mah zeroshock batteri case day ago'],['Activity Notification'],['Activity Notification']
['someon ad pc ocean natur stone bead bead bracelet men boho handmad cart right now'],['Activity Notification'],['Activity Notification']
['user current activ websit just'],['Activity Notification'],['Hidden Costs']
['peopl cart'],['Activity Notification'],['Activity Notification']
['no thank i like deal'],['Confirmshaming'],['Confirmshaming']
['no i rather pay full price'],['Confirmshaming'],['Confirmshaming']
['i like discount'],['Confirmshaming'],['Confirmshaming']
['no thank i like great deal'],['Confirmshaming'],['Confirmshaming']
['no thank i rather pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i skip amaz super saver deal i need mani beauti textur'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no thank i like save money'],['Confirmshaming'],['Confirmshaming']
['no thank i like'],['Confirmshaming'],['Confirmshaming']
['no thank i despis coupon'],['Confirmshaming'],['Confirmshaming']
['no thank i want build one i rather kick rock'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no thank i like get free stuff'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no thank i like good deal'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['thank i like pay full price'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['i want to pay more later'],['Confirmshaming'],['Confirmshaming']
['no thank i dont want discount'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no thank i like free stuff'],['Confirmshaming'],['Confirmshaming']
['no thank i prefer pay full price'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no i don t feel lucki'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no thank i hate save money'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['i want protect item'],['Confirmshaming'],['Sneak into Basket']
['no thank i rather pay'],['Confirmshaming'],['Confirmshaming']
['no thank i like save money'],['Confirmshaming'],['Confirmshaming']
['no i want discount'],['Confirmshaming'],['Confirmshaming']
['no thank i pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i don t want to save money'],['Confirmshaming'],['Confirmshaming']
['no thank i don like exclus offer'],['Confirmshaming'],['Confirmshaming']
['no thank i pay full price'],['Confirmshaming'],['Confirmshaming']
['no i d rather pay full price'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no thank i prefer pay full price'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['i rather save'],['Confirmshaming'],['Hidden Costs']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no thank i rather pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i like fun game'],['Confirmshaming'],['Confirmshaming']
['thank i hate fun game'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no thank i want'],['Confirmshaming'],['Confirmshaming']
['no i rather hard way'],['Confirmshaming'],['Hidden Costs']
['no i feel lucki'],['Confirmshaming'],['Hidden Costs']
['no thank i don like save money'],['Confirmshaming'],['Confirmshaming']
['no thank i don t mind miss out'],['Confirmshaming'],['Confirmshaming']
['i ll pay full price'],['Confirmshaming'],['Confirmshaming']
['no i want great deal'],['Confirmshaming'],['Confirmshaming']
['no thank i like free stuff'],['Confirmshaming'],['Confirmshaming']
['no thank i want pay full price'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Confirmshaming']
['no i ll pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i rather pay full price'],['Confirmshaming'],['Confirmshaming']
['thank i like save'],['Confirmshaming'],['Confirmshaming']
['no thank i prefer pay ship'],['Confirmshaming'],['Confirmshaming']
['nah i pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i definit measur correctli'],['Confirmshaming'],['Confirmshaming']
['no thank i want save money'],['Confirmshaming'],['Confirmshaming']
['no thank i love chao'],['Confirmshaming'],['Confirmshaming']
['no thank i rather win'],['Confirmshaming'],['Confirmshaming']
['no thank i prefer pay shoe'],['Confirmshaming'],['Confirmshaming']
['no thank i pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i still want pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i want deal'],['Confirmshaming'],['Confirmshaming']
['no thank i like promot exclus content'],['Confirmshaming'],['Confirmshaming']
['no thank i d rather pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i prefer pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i don want to save'],['Confirmshaming'],['Confirmshaming']
['no thank i rather pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i prefer save'],['Confirmshaming'],['Confirmshaming']
['no thank i want offici softwar best price'],['Confirmshaming'],['Confirmshaming']
['no thank i want look best'],['Confirmshaming'],['Confirmshaming']
['nah i like pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i want save money'],['Confirmshaming'],['Confirmshaming']
['i don t like free gift no thank'],['Confirmshaming'],['Confirmshaming']
['no thank i want'],['Confirmshaming'],['Confirmshaming']
['i ll pay full price'],['Confirmshaming'],['Confirmshaming']
['i shop without a discount'],['Confirmshaming'],['Hidden Costs']
['i rather pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i like save money'],['Confirmshaming'],['Confirmshaming']
['i ll pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i don want discount'],['Confirmshaming'],['Confirmshaming']
['no thank i don t want off'],['Confirmshaming'],['Confirmshaming']
['no thank i want save'],['Confirmshaming'],['Confirmshaming']
['no thank i don want free gift'],['Confirmshaming'],['Confirmshaming']
['no thank i want pay full price'],['Confirmshaming'],['Confirmshaming']
['no thank i got much cool glock stuff'],['Confirmshaming'],['Confirmshaming']
['no i feel lucki'],['Confirmshaming'],['Confirmshaming']
['no thank i interest'],['Confirmshaming'],['Confirmshaming']
['no thank i prefer pay full price'],['Confirmshaming'],['Confirmshaming']
